sdss_id,gaia_dr3_source_id,ra,dec
54599749,439927624614113792,47.8328052,51.8034694
54611144,441355825800832512,51.6056892,48.3351212
54611168,441358776436543488,51.3177767,48.3731913
54611190,441361529517032832,51.4749546,48.5190404
54611246,441370600488018048,51.2915145,48.3941175
54611253,441371528202158592,51.1963596,48.4115474
54611303,441378159630386816,51.2469260,48.6194445
54611319,441380805330173824,51.5056348,48.6525667
54611358,441386783924501760,51.5685150,48.8411090
54611402,441394789743992064,51.9526559,48.7883795
54611478,441405784860290176,51.7637052,48.7869299
54611510,441409701870651904,51.8540705,48.9698269
54611546,441414958910333824,52.0034976,49.0001401
54611556,441415508666161152,51.9076755,48.9912176
54611664,441429321280764288,51.0412458,48.7654235
54611671,441430111554726784,51.0831684,48.7887331
54611712,441435643472434944,51.4006746,48.9324906
54611800,441447669380929792,50.9027658,48.9813691
54611953,441466189279599104,51.5808302,49.2255833
54612237,441493058594758400,51.6529455,49.6368105
54612413,441513124684160000,52.1978239,49.2743297
54612431,441515083189174784,52.3614029,49.3430475
54613200,441596172170886912,51.9524060,49.9049860
54613915,441681075084155136,51.6185766,49.6913396
54614009,441688840384671232,51.0712701,49.6499654
54614105,441697739556772736,51.2456507,49.8374337
54614453,441737455113305088,50.3425926,49.9508243
54614506,441743880385865728,50.9997298,49.9670483
54614569,441750928431655040,51.2329161,50.0308735
54614831,441781955276048256,51.6704734,49.9595398
54614903,441790888807915648,51.9450887,50.1764274
54615057,441805869653399808,51.6406200,50.2316967
54615111,441811397270057728,52.1368775,50.1654731
54616014,441920455079650304,53.2130540,49.8454094
54622528,442724305458783360,50.6217333,51.5710132
54622873,442770691107094912,49.4902068,50.8065435
54623177,442818794740248448,49.3547779,51.2603973
54623423,442854975543912320,48.6585182,51.2863257
54624478,442990387273348352,49.5724963,51.9584514
54624833,443040655569966208,50.3459159,52.6920992
54626661,443255781891996672,52.7684707,52.6199854
54626690,443256640885453184,52.7189422,52.6415711
54626869,443280555264049920,52.5714052,52.9016543
54628509,443493585641686016,52.3529478,53.3527321
54628878,443536191716926976,51.8005827,53.3313502
54630771,443758121267219840,56.9782817,52.4662820
54634091,444143981127742464,56.5354857,53.9379755
54634636,444213731396742656,58.6486089,53.5084284
54635100,444282760110858880,58.1972720,53.8540943
54635333,444315779821043840,58.9150433,53.8777987
54637421,444557844177853312,57.3077246,54.4955513
54637504,444568255177615104,57.4321878,54.7151122
54637866,444609040188969216,57.9789177,54.6518025
54638500,444679821251015552,57.6603672,55.0794261
54639642,444800045972766976,54.6445461,53.8682806
54640328,444881169313912576,55.3283693,53.8414658
54640532,444908794543668480,55.8417132,54.1040382
54640654,444919995818045824,55.8913571,54.3064065
54641152,444981053073078144,55.5235683,54.6017883
54641874,445070865131903104,53.5614584,54.3724763
54642121,445104507614256000,52.6191743,54.2932642
54643075,445235761814055168,54.4503388,55.1381068
54644103,445363820559322752,55.9201199,54.7557783
54644339,445398970571483648,56.4909547,55.1238088
54644679,445443294636481536,57.7320394,55.3481732
54645630,445539948582661888,57.7780427,55.9306431
